layer,group,name,status,description
ARIA MCP,Durable coding loops,loop_status,Registered; see report for functional coverage,"Read bounded Loop run state, limits and verification counts. No plans,
    transcripts or logs; never approves, starts, resumes or edits a controller.
    Administrative Loop controls remain outside this tool."
ARIA MCP,Health and infrastructure,health_services,Registered; see report for functional coverage,"Real reachability probe of every backing service (mongod, mongot, the
    local LLM servers, embeddings, tts, stt) — actual HTTP pings with latency,
    not just config/SDK presence like aria_health. A 401/403 counts as
    unhealthy (a rejected credential is a real failure). Ridge is deliberately
    NOT probed here since it sleeps by design; a probe would either report it
    falsely down or wake it every check. Returns {services: [...], healthy, total}."
ARIA MCP,Fleet and watched shells,get_shell_screen,Registered; see report for functional coverage,"Use when you need what a known shell shows RIGHT NOW (fresh and
    ANSI-stripped).

    Best for ""what's on screen at this moment"", e.g. after sending input.
    For the last worker-stored snapshot (can be ~30s old) use
    get_shell_snapshot; for raw line history use get_shell_events."
ARIA MCP,Fleet and watched shells,get_shell_snapshot,Registered; see report for functional coverage,"Return the latest worker-stored visible-pane snapshot of a shell
    (refreshed every ~30s). For a live capture use get_shell_screen. A new
    shell may have no stored snapshot yet; unavailable is not a tool failure."
ARIA MCP,Fleet and watched shells,get_shell_events,Registered; see report for functional coverage,"Use for durable transcript/history, pagination, or changes that scrolled
    off the visible pane. Fetches captured output/input events.
    kinds: comma-separated subset of 'output,input' (default both).
    Pass since_line to page forward from a previous call."
ARIA MCP,Fleet and watched shells,search_shells,Registered; see report for functional coverage,"Search the fleet for `q`. Returns two lists:
      - `shells`: shells whose name / project_dir / tags match.
      - `events`: matching lines of captured output (full-text)."
ARIA MCP,Fleet and watched shells,send_shell_input,Registered; see report for functional coverage,"Type text into a shell. append_enter sends a newline (submission) after.
    Use literal=True for task prompts. Long prompts use verified bracketed paste.
    For an interrupt use text='C-c', literal=False, append_enter=False;
    never put a raw control character into a JSON argument string.
    The returned byte count/hash acknowledges terminal transport, not worker acceptance
    or task completion. Check the resulting screen for the worker's acknowledgement.

    Set wait_ms (e.g. 1500) to have the server wait that long after sending and
    return the resulting screen in the `screen` field — a single call to act and
    observe the effect, instead of send-then-poll. Capped at 10000ms."
ARIA MCP,Fleet and watched shells,nudge_paused_shell,Registered; see report for functional coverage,"Nudge a watched shell paused at a prompt (activity_state 'blocked' in
    fleet_status). Sends Enter at a safe 'press enter' prompt, else a continue
    instruction; after 3 consecutive failed nudges it alerts the human. Safe on
    every sweep — not-paused, recently-nudged, or just-paused shells are skipped
    (see `reason`). `text` overrides the message; force=true skips the guards."
ARIA MCP,Fleet and watched shells,create_shell,Registered; see report for functional coverage,"Use when you need a new interactive ARIA-watched shell, including on a
    fleet node. Prefer profile='claude'|'codex'|'pi'|'shell'; use the lower-level
    launch_command only for a command not covered by those profiles. host is an
    online node id from list_nodes. Do not manually create/register tmux when
    this tool can express the launch. Supply an absolute workdir for project work.
    The agent host is normally the Mac even when the task targets a Corsair model.
    Keep the canonical returned shell name; its prefix is not a reliable model/profile label."
ARIA MCP,Fleet and watched shells,delete_shell,Registered; see report for functional coverage,"Use to stop a watched shell through its owning node. Remote offline
    removals return pending and are durably delivered when that node reconnects.
    purge=True also deletes stored events/snapshots after stop acknowledgement;
    omit it to preserve searchable history."
ARIA MCP,Fleet and watched shells,set_shell_tags,Registered; see report for functional coverage,Replace the tag list on a shell.
ARIA MCP,Fleet and watched shells,resize_shell,Registered; see report for functional coverage,Resize the tmux pane of a shell (so a TUI repaints at your viewport).
ARIA MCP,"Projects, tasks and publishing",list_projects,Registered; see report for functional coverage,"List projects (harvested from git repos + Claude/pi sessions + live
    shells, merged with conversationally-tracked ones). status filters by
    machine activity_status: 'active' or 'idle'."
ARIA MCP,"Projects, tasks and publishing",get_project,Registered; see report for functional coverage,"Get one project by slug (or id), including its open tasks and derived
    git/source info."
ARIA MCP,"Projects, tasks and publishing",projects_overview,Registered; see report for functional coverage,"Coherence C4 Project Switcher: every project ranked by what needs a
    human — blocked agents, failed verification gates, unacked alerts, stale
    tasks. The one-call answer to ""where is everything, and what needs me?"".
    Also returns the persisted active (focused) project."
ARIA MCP,"Projects, tasks and publishing",project_cockpit,Registered; see report for functional coverage,"Coherence C4 Per-Project Cockpit: the full focused picture for one
    project (by slug or id) — live git status, its agents/shells (blocked
    first), coding sessions with verification gate_runs, open+stale tasks,
    what-changed memories, scoped alerts, Linear tickets, and priced spend."
ARIA MCP,"Projects, tasks and publishing",create_linear_ticket,Registered; Linear creation unconfigured,"Create a Linear ticket (the Signal → Hermes → Linear capture path).
    project is an ARIA project slug from the configured linear_project_map;
    omit it when only one project is mapped. Returns the created issue's
    identifier and url. Fails with 409 when the Linear integration is
    disabled."
ARIA MCP,"Projects, tasks and publishing",publish_to_obsidian,Registered; see report for functional coverage,"Use when Ben asks for a durable plan, analysis, design, specification, or
    research artifact; publish the finished long-form markdown to Obsidian so it
    syncs to all devices. Do not use for transient narration or routine status.
    doc_type picks the subfolder: Design, Specs, Analysis, Research, or
    Planning. project is a repo path or vault folder name (e.g.
    '/home/ben/Development/ProjectAria' or 'ProjectAria'); omit it for
    ARIA's general folder. Writes are atomic and never overwrite a doc a
    human recently edited. Returns the vault path written."
ARIA MCP,"Projects, tasks and publishing",retire_project,Registered; see report for functional coverage,"Retire a project: distil its transcripts into long-term memory, then
    remove it from the board.

    Memories are written and verified BEFORE anything is deleted, so a failed
    extraction leaves the project intact. Scrollback, coding sessions and
    previously-extracted memories are kept — only the project row and its tasks
    go. Refuses while the project still has a running session or an active
    shell.

    Defaults to dry_run=True: call once to see what would move and what would
    go, then again with dry_run=False.
    "
ARIA MCP,"Projects, tasks and publishing",list_tasks,Registered; see report for functional coverage,"List to-do tasks, optionally filtered by project (slug or id) and/or
    status ('open', 'proposed', 'active', 'done', 'dismissed')."
ARIA MCP,"Projects, tasks and publishing",get_task,Registered; see report for functional coverage,"Read one durable planning task, including notes/owner/status, before
    changing it. Accepts task_id or the id from list_tasks; not a coding-session
    or background-runner ID. Reading does not claim or complete the task."
ARIA MCP,"Projects, tasks and publishing",create_task,Registered; see report for functional coverage,"Create a to-do task, optionally attached to a project (slug or id)."
ARIA MCP,"Projects, tasks and publishing",update_task,Registered; see report for functional coverage,"Update a to-do task by id. Set status='done' to complete it (stamps
    completed_at). Only provided fields are changed."
ARIA MCP,Alerts and delivery bookkeeping,list_alerts,Registered; see report for functional coverage,"List ProjectAria alerts.

    ⚠️ Relaying to Ben wants `needs_human_only=true, undelivered_only=true`.
    That is the small set a human must actually decide. Everything else —
    session stalls, budget notices, recoveries — is `severity=""info""` cockpit
    and digest material and must NOT be sent to Signal: relaying lifecycle
    noise is what trains a person to stop reading their own alert queue.
    Deliver → mark_alert_delivered → ack_alert."
ARIA MCP,Alerts and delivery bookkeeping,decide_alert,Registered; see report for functional coverage,"Record Ben's typed answer to a raise: APPLY | REJECT | STOP | HOLD | IGNORE.

    The reply grammar is typed on purpose: the previous flow relied on recalling
    from conversation memory which fix a bare ""APPLY"" referred to, so nothing
    bound the decision to an alert and there was no audit trail. IGNORE means
    the raise was unnecessary and feeds the false-raise metric. Acks the alert."
ARIA MCP,Alerts and delivery bookkeeping,mark_alert_delivered,Registered; see report for functional coverage,"Call after a Signal send succeeds. Delivered is NOT acked: delivered means
    Ben saw it, acked means it is closed. Keeping them separate is what makes a
    dead relay visible instead of looking like a quiet week."
ARIA MCP,"Projects, tasks and publishing",list_active_projects,Registered; see report for functional coverage,"The ACTIVE SET the steward acts on: status=active AND kind=project AND an
    approved charter with a purpose. Everything else in the registry is
    inventory — 59 rows were being tracked as ""projects"" including Downloads,
    /tmp/workspace and .worktrees/*, which is why the attention ranking read
    zero for everything. Use list_projects for the full inventory."
ARIA MCP,"Projects, tasks and publishing",get_project_charter,Registered; see report for functional coverage,"A project's charter — purpose, goals, non-goals, research topics,
    autonomy, allowed tiers, cadence, budget, guard — plus ARIA's steward state
    and the budget with config defaults already resolved."
ARIA MCP,"Projects, tasks and publishing",set_project_charter,Registered; see report for functional coverage,"Set or amend a project's charter. PARTIAL merge: only what you pass is
    written, so amending a budget cannot blank the purpose.

    Autonomy: 0 observe / 1 propose / 2 execute in a sandboxed worktree with a
    merge gate (local models cap here) / 3 auto-merge behind the full gate.

    ⚠️ A charter is Ben's statement of what a project is FOR — it drives what
    the steward researches and what agents are allowed to do unattended. Relay
    his words; never invent one to fill the field."
ARIA MCP,"Steward, guard, awareness and vault",steward_status,Registered; see report for functional coverage,"What the steward is doing: whether it is enabled, its last tick per
    chartered project, what it chose and why, and which projects are in the
    active set (status=active AND kind=project AND a charter with a purpose)."
ARIA MCP,"Steward, guard, awareness and vault",steward_runs,Registered; see report for functional coverage,"Recent steward ticks — what it saw, what it chose, and the reason. This is
    the audit trail for autonomous action; read it before answering ""why did it
    do that?""."
ARIA MCP,"Steward, guard, awareness and vault",steward_tick,Registered; see report for functional coverage,"Run one steward tick for a project NOW instead of waiting for the timer.

    Respects that project's charter autonomy and budget exactly as the scheduled
    tick would — this is a ""do it now"", not a ""do it anyway""."
ARIA MCP,"Steward, guard, awareness and vault",improve_status,Registered; see report for functional coverage,"The self-improvement loop: whether it is enabled, the current baseline
    metrics, and how many clean promotions have accumulated. Improvement is
    gated on measured outcomes — with no baseline it proposes nothing."
ARIA MCP,"Steward, guard, awareness and vault",improve_proposals,Registered; see report for functional coverage,"Proposed changes to ARIA's own prompts/thresholds, with their gate
    evidence. Promotion needs the admin key, which MCP deliberately does not
    have — relay the proposal to Ben, do not try to apply it."
ARIA MCP,"Steward, guard, awareness and vault",guard_status,Registered; see report for functional coverage,"Guard health: sandbox preflight (bwrap/systemd-run present, MemAvailable,
    whether a spawn is allowed), the enforced policy hash and its tamper
    verdict, and event/checkpoint counts."
ARIA MCP,"Steward, guard, awareness and vault",guard_events,Registered; see report for functional coverage,"Recent guard events — blocked actions, protected-path touches, tamper
    checks, checkpoints, merges. blocked_only=True is the raise-worthy subset."
ARIA MCP,"Steward, guard, awareness and vault",guard_checkpoints,Registered; see report for functional coverage,"Checkpoint commits for a coding session. Each sha is a rollback target;
    ARIA makes these commits itself so an agent cannot skip its own checkpoint."
ARIA MCP,Coding sessions and recovery,checkpoint_coding_session,Registered; see report for functional coverage,Commit a coding session's current worktree state. No-op on a clean tree.
ARIA MCP,Coding sessions and recovery,rollback_coding_session,Registered; see report for functional coverage,"git reset --hard inside that session's worktree ONLY. 'start' is the
    pre-session tag aria/ckpt/<sid>/start. The live checkout is never touched."
ARIA MCP,Coding sessions and recovery,coding_session_merge_gate,Registered; see report for functional coverage,"Run the merge gate — check command, diff size, protected paths, gitleaks,
    charter allowed_paths — and return the verdict.

    The check command comes from the project's own `check_command` or the
    configured default; a caller cannot supply one (that parameter was a remote
    shell with the admin key in scope, removed 2026-08-15). It NEVER merges: a
    merge at autonomy <= 2 is Ben's APPLY and needs the admin key, which MCP
    deliberately does not have."
ARIA MCP,"Steward, guard, awareness and vault",vault_poll,Registered; see report for functional coverage,"Read Ben's Obsidian vault control docs now (CHARTER.md, STEWARD_PLAN.md,
    Research/*.md) and return what a HUMAN changed: approval/autonomy/accepted
    flips, charter edits, the '## Notes from Ben' section, and parse errors.

    Human edits are detected by content hash against what ARIA last wrote, not
    by mtime — the LiveSync bridge rewrites mtimes, so mtime cannot tell Ben's
    edit from a sync echo of ARIA's own write."
ARIA MCP,"Steward, guard, awareness and vault",vault_events,Registered; see report for functional coverage,Recent vault change events (newest last).
ARIA MCP,Alerts and delivery bookkeeping,relay_heartbeat,Registered; see report for functional coverage,"Report that the outbox relay ran — EVERY pass, including quiet ones.

    Silence for alert_relay_heartbeat_timeout_minutes makes ARIA raise
    relay:dead, write STEWARD_INBOX.md into the vault, and send one break-glass
    Signal message. A relay that only heartbeats when it has something to say
    cannot be distinguished from a dead one."
ARIA MCP,Alerts and delivery bookkeeping,ack_alert,Registered; see report for functional coverage,"Acknowledge an alert by id so it is not relayed again. Takes the id
    under either `alert_id` or `id` — list_alerts returns it as `id`."
ARIA MCP,"Research, conversations and agents",chat,Registered; see report for functional coverage,"Send a message to ARIA and get her reply (non-streaming).

    Omit conversation_id to start a new conversation (uses the default ARIA
    orchestrator agent unless you pass agent_slug, e.g. 'pi-coding'). Check
    list_agents first — a disabled agent (enabled=false, e.g. 'search-agent',
    paused 2026-07-28) is refused with a 400, not silently ignored. Returns
    {content, conversation_id, tool_calls, usage} —
    pass the returned conversation_id back to continue the thread."
ARIA MCP,"Research, conversations and agents",list_conversations,Registered; see report for functional coverage,"List ARIA conversations (default: active). For reading one, use
    read_conversation."
ARIA MCP,"Research, conversations and agents",get_usage_cost,Registered; see report for functional coverage,"Total $ cost over the last N days, broken down by (model, backend).
    Local backends cost $0; this is mainly for spotting unexpected cloud
    spend (e.g. an unpinned coding session routing to Opus more than
    expected). See /usage/by-session or /usage/by-conversation in the REST
    API directly if you need finer granularity than this exposes."
ARIA MCP,"Research, conversations and agents",read_conversation,Registered; see report for functional coverage,"Read one conversation including its recent messages. Takes the id under
    either `conversation_id` or `id` — list_conversations returns it as `id`."
ARIA MCP,"Research, conversations and agents",list_agents,Registered; see report for functional coverage,"List ARIA's agent personas (orchestrator + delegated agents) with their
    configured model/backend and tools."
ARIA MCP,"Research, conversations and agents",update_agent,Registered; see report for functional coverage,"Enable/disable an agent or repoint its backend/model. `agent_slug`
    takes a slug ('search-agent', 'pi-coding') or raw id.

    ⚠️ SINCE 2026-08-15 THIS REQUIRES THE ADMIN KEY AND WILL RETURN 403 HERE.
    Repointing an agent changes what every future session does, durably and
    invisibly, so `PUT /agents/{id}` moved behind ADMIN_KEY (steward plan §7.4)
    — and ADMIN_KEY is deliberately not available to MCP, because MCP is
    reachable by Hermes and therefore by anything that can talk to Hermes.
    Ben applies these from the TUI/CLI. Report the 403 and what you wanted to
    change; do not try to route around it by editing the database.

    backend/model use the LLM-ADAPTER vocabulary (llamacpp, agentic, ridge,
    anthropic...) — NOT create_coding_session's (claude_code/codex/pi-code/
    pool)."
ARIA MCP,Model control and inference telemetry,list_model_servers,Registered; see report for functional coverage,"Every registered local model+runtime pair, including Red Linux and Ridge:
    live state, runtime fork, device placement, memory pool, footprint estimate
    and which agent (if any) it is bound to.

    For Red choices and wake/load/switch, prefer red_model_status and
    select_red_model. They expose the supported Red deployments, including default PARO int5.

    Two fields answer ""how do I load this differently"":
      - `devices` / `memory_pool` — WHERE it runs. Hybrid deployments can use
        multiple pools; consult exclusivity and live headroom, not old card names.
      - `parameters` — HOW it loads. Each knob carries its effective `value`
        and the `source` of that value, and any of them can be passed to
        start_model_server(overrides=...). An empty list means the server's
        configuration is frozen in its compose file or unit.

    `startable: false` with a `not_startable_reason` is an intentional gate
    (retired or not qualified). Do not bypass it or infer readiness from weights."
ARIA MCP,Model control and inference telemetry,model_server_utilization,Registered; see report for functional coverage,"How loaded the local model servers are RIGHT NOW — busy vs total slots,
    queue depth and throughput, read live from llama.cpp.

    list_model_servers() says how many slots should exist; this says how many
    are busy. Use it when the local model ""feels slow"", before starting another
    server, or when deciding whether to spawn more concurrent work.

    Hermes and Pi share serving capacity; consumers do not necessarily own
    dedicated slots. Check inference_backend(model=...) for ARIA admission
    queues too: backend metrics alone miss work waiting at the gateway.
    Saturation and prefix eviction can increase latency; measure cache reuse
    using inference_traces rather than assuming every queued request is cold.

    `saturated: null` means unknown, not false: the server was launched without
    `--metrics`, so queue depth and throughput are unreadable (`metrics_hint`
    says so). Missing data is reported as missing rather than as zero.

    `declared_*` vs the live values is a drift check — they disagree exactly
    when a unit file was edited but the server never restarted."
ARIA MCP,Model control and inference telemetry,get_llm_route,Registered; see report for functional coverage,"Default routing policy only; not a named model's backend.
    Inspect the default/auto local route and its pin. This is NOT necessarily
    the model backing Hermes: a client can explicitly select another registered
    model. Use inference_backend(model=<client model>) for that route, and
    inference_traces for evidence of completed requests. Does not change routing."
ARIA MCP,Model control and inference telemetry,set_llm_route,Registered; see report for functional coverage,"Pin 'the local model' to one server, or pass slug=None for auto (follow
    whichever is resident, largest first).

    Admin authorization required. Affects default/auto consumers, NOT clients
    explicitly selecting another model. It does not edit Hermes/Pi configuration.
    Refuses (409) if the named server is not running; never bypass an auth error."
ARIA MCP,Model control and inference telemetry,list_gpu_devices,Registered; see report for functional coverage,"Live registered GPU devices and memory pools, including host identity.
    Corsair now pairs Strix Halo with RTX 3090; its old R9700 deployment is
    retired. Other hosts may legitimately have R9700s. Trust returned host,
    device identity and headroom. Hybrid models use both dedicated and shared
    memory; do not assume pools or simultaneous model loads are independent."
ARIA MCP,Model control and inference telemetry,start_model_server,Registered; see report for functional coverage,"Start a model server by its registry slug, optionally choosing HOW it loads.

    For Red Linux, prefer select_red_model: it selects a supported model and
    checks activity before switching. This generic tool does not orchestrate swaps.

    `overrides` selects launch parameters — device placement, context size, KV
    cache type, drafter, slot count — keyed by the `parameters[].name` values
    list_model_servers() reports for that server. Only servers that expose
    `parameters` accept them; compose-frozen ones refuse (409) rather than
    silently ignoring the request. Read the active catalog before choosing a
    slug or override; historical deployments may be retired and non-startable.

    Omitting `overrides` starts with the deployment's own defaults AND clears
    any override a previous start applied — a plain start is always a clean one.

    Refuses (409) if a mutually-exclusive server is running, if the port is
    taken, or if the projected footprint would blow its memory-pool safety
    margin — see list_gpu_devices. Do not bypass qualification/retirement gates.
    Pass force=True only with explicit authorization and verified safe headroom.

    For startable remote entries, starting
    one WAKES the machine if it is asleep, then starts its model service, then
    waits until it actually serves — so the call can take a few minutes
    (RED ~5 min worst case, Ridge ~90s cold) and returns state='ready' only
    when health confirms it. state='starting' means the command was issued but
    it was not serving yet; that is a real outcome, not an error. Remote servers
    do not accept `overrides` (their parameters live on the remote host).

    Their states are meaningful: 'asleep' (box down), 'stopped' (box up, model
    not serving — start it), 'running' (serving)."
ARIA MCP,Model control and inference telemetry,stop_model_server,Registered; see report for functional coverage,"Stop a model server by its registry slug.

    For remote servers (RED, Ridge) this stops the MODEL SERVICE and leaves the
    machine awake — use sleep_model_server to suspend the box itself."
ARIA MCP,Model control and inference telemetry,bind_model_server,Registered; see report for functional coverage,"Record that `agent` (slug or id) is powered by model server `slug` —
    descriptive bookkeeping, not a routing change. Refuses (409) if that
    server is already bound to a different agent; pass force=True to add an
    extra slot for a rare case outside ARIA's normal one-agent-per-server rule."
ARIA MCP,Model control and inference telemetry,unbind_model_server,Registered; see report for functional coverage,Clear whatever model-server binding `agent` (slug or id) currently has.
ARIA MCP,Model control and inference telemetry,sleep_model_server,Registered; see report for functional coverage,"Suspend an off-box MACHINE — 'Ridge-Qwen3.8-27B' or 'Red-Qwen3.6-35B-A3B'.

    This suspends the whole box, which is NOT the same as stopping its model:
    use stop_model_server to free the GPU while leaving the machine up, and
    this only when you want the machine itself asleep. Noops with state=asleep
    if it is already unreachable.

    Waking is handled for you — start_model_server wakes the box first, and the
    wake proxies also wake it on an inference request."
ARIA MCP,Health and infrastructure,whats_running,Registered; see report for functional coverage,"What is running across ARIA's service and model registries/hosts.

    Use this for ""is everything up?"", ""what's running?"", ""is X running?"".
    Returns non-LLM services (mongod, embeddings, hermes-gateway, signal-cli,
    samba, ...) on the Mac control plane plus model-host runtimes, and an
    `unhealthy` list containing ONLY services that are expected to be up and
    are not. A stopped model server is normal (they are mutually RAM-exclusive)
    and a stopped on_demand service is normal, so neither is flagged."
ARIA MCP,Health and infrastructure,list_services,Registered; see report for functional coverage,"Every non-LLM service with its live state, `expected_state`
    (always_up | on_demand) and health verdict. `needs_review=true` marks
    entries whose expected_state was inferred, not confirmed by Ben."
ARIA MCP,Health and infrastructure,start_service,Registered; see report for functional coverage,"Start a non-LLM service by slug (e.g. 'aria-stt'). Refuses with 409 for
    unmanageable entries: aria-api (would restart itself mid-request),
    aria-tmux (killing it can orphan every watched claude-* session) and
    system units ARIA has no root for."
ARIA MCP,Health and infrastructure,stop_service,Registered; see report for functional coverage,"Stop a non-LLM service by slug. Same unmanageable refusals as
    start_service."
ARIA MCP,Memory and knowledge graph,kg_search,Registered; see report for functional coverage,"Semantic search over the ONTOLOGY GRAPH of Ben's world — machines,
    services, projects, datastores, networks, devices.

    Use this for STRUCTURAL questions (""what is the gaming PC used for
    inference?"", ""where do backups go?"") where search_memory would only find
    whatever someone happened to write in prose. Optional `type` filter:
    machine | device | service | project | datastore | network |
    external_service | person."
ARIA MCP,Memory and knowledge graph,kg_entity,Registered; see report for functional coverage,"One entity plus every structural edge in and out of it (its
    neighborhood). Slugs are `type:name` — e.g. 'machine:corsair-ai',
    'service:shared-mongod', 'project:aria'.

    Answers ""what runs on X?"", ""what depends on X?"", ""what is X?"". Most
    attributes are DERIVED from ARIA's registries and db.projects, so they
    reflect what is actually configured rather than what was documented."
ARIA MCP,Memory and knowledge graph,kg_map,Registered; see report for functional coverage,"Typed overview of the graph — all machines, all services, all projects.
    Omit `type` for everything."
ARIA MCP,Memory and knowledge graph,kg_memories,Registered; see report for functional coverage,"Memories that refer to a given entity — the graph -> memory direction.

    Complements search_memory: that searches prose semantically, this returns
    everything linked to a specific thing."
ARIA MCP,Model control and inference telemetry,pull_model,Registered; see report for functional coverage,"Download a GGUF from Hugging Face and provision it as a startable model
    server. `runtime` picks the llama.cpp build: mainline-vulkan | mainline-cpu
    | rocmfp4-fork | rocmfpx-vulkan-fork — standard GGUFs take mainline;
    ROCmFP4/FP6/FPX files need their matching fork. Returns a job id; poll
    list_model_pulls (20-60 GB, many minutes)."
ARIA MCP,Model control and inference telemetry,list_model_pulls,Registered; see report for functional coverage,"Recent model-pull jobs with status (downloading/wiring/completed/failed),
    log tail, and a stale flag (aria-api restarted mid-pull)."
ARIA MCP,Memory and knowledge graph,search_memory,Registered; see report for functional coverage,"Recall ARIA long-term memory using currently enabled retrieval modes.
    Check retrieval_capabilities: with search disabled this uses the mongod
    fallback, not vector/full-text search. Does not enable search or embeddings.
    content_type optionally filters: fact | preference | event | skill | document."
ARIA MCP,Memory and knowledge graph,add_memory,Registered; see report for functional coverage,"Store a durable memory. content_type: fact | preference | event | skill |
    document. importance 0.0–1.0."
ARIA MCP,Memory and knowledge graph,retrieval_capabilities,Registered; see report for functional coverage,"Are mongot (search) and the embeddings model currently in use, and what
    is waiting to be re-embedded?

    Returns each switch with the reason it was last flipped, `retrieval_mode`
    (hybrid | lexical | fallback — what a memory search will actually do right
    now), the backing containers' state, and the backfill backlog. Check this
    first when recall looks worse than expected: `fallback` means mongot is off
    and results come from a crude mongod scan, not from search."
ARIA MCP,Memory and knowledge graph,set_retrieval_capabilities,Registered; see report for functional coverage,"Turn the embeddings model and/or mongot off (or back on) WITHOUT
    stopping ARIA. Omitted switches are left alone.

    Turning them off degrades retrieval, it does not break writes: memories are
    still stored, flagged `embedding_pending`, and re-embedded automatically the
    moment `embeddings` goes back to true — no repair step. With `search` off,
    recall falls back to a mongod-native scan. Health checks stop paging about a
    capability that is off on purpose.

    `with_service=true` also stops/starts the backing container
    (shared-embeddings / shared-mongot) — use it to actually free the box, in
    the safe order (switch off then stop; start then switch on)."
ARIA MCP,Coding sessions and recovery,list_coding_sessions,Registered; see report for functional coverage,"List ARIA-spawned coding sessions (sub-agents). status optionally filters
    (queued|running|completed|failed|stopped). NOTE 'queued' is real: a spawn
    past coding_max_concurrent_sessions waits for a free slot, so polling only
    for 'running' makes a queued session look like it failed. Failed sessions
    now carry an `error` field with the reason."
ARIA MCP,Coding sessions and recovery,create_coding_session,Registered; see report for functional coverage,"Use for a self-contained coding implementation/review task, not merely
    to open an interactive shell. Spawns a managed sub-agent in `workspace`.

    backend: 'claude_code' | 'codex' (deployment default) | 'pi-code' (alias 'pi') |
        'pool' (Poolside's agent against local Laguna; aliases 'pool-cli',
        'poolside').
    loop=True: watchdog nudges on idle until LOOP_DONE or the nudge/deadline
        caps. Toggle later with set_coding_loop.
    llm/model: explicit Pi provider/model pins; normally use a specialist profile.
    host: an aria-node id to run remotely; omit to use deployment policy.
    subagent_profile: a db.agents slug whose backend/model/role apply; an
        explicit backend still wins.
    create_worktree: leave unset. None means ""use the configured default"",
        which is TRUE — the session gets its own git worktree, ARIA makes its
        checkpoint commits, and it can be rolled back. Passing False opts out of
        the guard for that session and is a deliberate act, not a shortcut.

    Invalid backends return a structured list of valid names and aliases; retry
    with one of those names instead of inventing another spelling.

    Returns immediately (queued/running) — it does NOT wait. Short task: call
    wait_for_coding_session next to block for the result rather than making the
    human poll. Long or looped: check back with get_coding_session."
